Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Willian Pacho,ec ECU,DF,22,45.9,27,0.67,24,0,0,1,0,2,4,0.10,3,0,0,1,0,0,Matches
Achraf Hakimi,ma MAR,DF,25,45.6,181,4.56,158,4,7,5,5,2,16,0.40,15,0,1,0,0,0,Matches
Vitinha,pt POR,MF,24,43.6,131,3.41,110,10,5,4,0,2,12,0.31,8,3,1,0,0,0,Matches
João Neves,pt POR,MF,19,42.0,113,3.11,93,1,4,5,4,6,17,0.47,17,0,0,0,0,0,Matches
Bradley Barcola,fr FRA,FW,21,40.6,154,4.24,127,1,10,9,3,4,28,0.77,23,0,2,3,0,0,Matches
Nuno Mendes,pt POR,DF,22,39.7,110,3.20,86,8,7,5,3,1,10,0.29,9,1,0,0,0,0,Matches
Gianluigi Donnarumma,it ITA,GK,25,39.6,3,0.08,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marquinhos,br BRA,DF,30,39.5,47,1.34,42,1,1,0,0,3,1,0.03,0,0,0,0,0,1,Matches
Fabián Ruiz Peña,es ESP,MF,28,38.6,135,3.96,121,0,4,8,0,2,19,0.56,16,0,1,1,0,1,Matches
Ousmane Dembélé,fr FRA,FW,27,36.7,190,5.98,127,29,17,10,6,1,24,0.76,18,1,1,3,1,0,Matches
Désiré Doué,fr FRA,FW,19,33.5,144,5.31,109,1,19,6,7,2,28,01.03,18,0,4,2,3,1,Matches
Warren Zaïre-Emery,fr FRA,MF,18,33.2,78,2.67,69,1,1,5,0,2,4,0.14,2,1,1,0,0,0,Matches
Lucas Beraldo,br BRA,DF,20,27.3,23,0.98,23,0,0,0,0,0,3,0.13,3,0,0,0,0,0,Matches
Lee Kang-in,kr KOR,"FW,MF",23,26.6,123,5.25,87,29,3,3,0,1,9,0.38,8,1,0,0,0,0,Matches
Khvicha Kvaratskhelia,ge GEO,FW,23,20.0,104,5.67,67,7,12,9,6,3,16,0.87,11,0,3,1,1,0,Matches
Gonçalo Ramos,pt POR,FW,23,18.6,39,2.75,31,0,1,5,2,0,8,0.56,5,0,1,1,1,0,Matches
Matvei Safonov,ru RUS,GK,25,17.1,1,0.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Hernández,fr FRA,DF,28,13.6,13,1.18,11,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Senny Mayulu,fr FRA,MF,18,12.0,39,04.09,29,0,0,5,2,3,7,0.73,7,0,0,0,0,0,Matches
Marco Asensio,es ESP,FW,28,8.4,39,4.66,27,3,2,7,0,0,7,0.84,7,0,0,0,0,0,Matches
Randal Kolo Muani,fr FRA,FW,25,5.2,17,3.29,10,0,2,3,1,1,3,0.58,1,0,0,1,1,0,Matches
Milan Škriniar,sk SVK,"DF,MF",29,4.2,6,1.41,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ibrahim Mbaye,fr FRA,FW,16,3.9,8,2.12,6,0,1,0,0,1,2,0.53,2,0,0,0,0,0,Matches
Yoram Zague,fr FRA,DF,18,3.0,3,1.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Axel Tapé,fr FRA,MF,16,2.8,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arnau Tenas,es ESP,GK,23,2.0,2,2.00,2,0,0,0,0,0,1,1.00,1,0,0,0,0,0,Matches
Presnel Kimpembe,fr FRA,DF,28,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Noham Kamara,fr FRA,DF,17,0.8,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
