testdate,expression,movement,quality,benchmarkpct,player_id
03/07/2023,isometric,upper body,pull,83.4,22
04/07/2023,dynamic,agility,acceleration,0.32,7
10/07/2023,dynamic,agility,deceleration,0.867,22
18/07/2023,isometric,jump,take off,85.0,22
20/07/2023,dynamic,upper body,pull,0.8525,7
30/07/2023,isometric,upper body,grapple,77.7,7
31/07/2023,isometric,jump,land,85.7,22
11/08/2023,isometric,sprint,acceleration,96.8,10
18/08/2023,dynamic,agility,deceleration,0.868,22
25/08/2023,dynamic,upper body,push,0.4,22
31/08/2023,isometric,upper body,pull,88.6,22
01/09/2023,dynamic,jump,take off,0.6985,22
05/09/2023,isometric,agility,rotate,100.1,7
07/09/2023,dynamic,jump,take off,0.7085,22
11/09/2023,dynamic,upper body,push,0.388,10
13/09/2023,isometric,upper body,grapple,88.1,7
14/09/2023,isometric,agility,acceleration,0.52,10
20/09/2023,dynamic,sprint,max velocity,0.5845,10
24/09/2023,isometric,agility,rotate,75.7,10
28/09/2023,dynamic,agility,acceleration,0.4305,10
28/09/2023,isometric,sprint,max velocity,96.0,7
29/09/2023,isometric,upper body,pull,83.3,7
18/10/2023,isometric,agility,deceleration,1.038,10
22/10/2023,dynamic,jump,land,0.6615,10
10/11/2023,isometric,jump,take off,87.7,7
12/11/2023,isometric,jump,take off,102.4,7
13/11/2023,dynamic,jump,take off,0.651,7
18/11/2023,dynamic,jump,pre-load,0.5085,22
18/11/2023,isometric,upper body,grapple,78.4,22
20/11/2023,isometric,agility,deceleration,1.038,22
27/11/2023,dynamic,sprint,acceleration,0.4305,10
28/11/2023,isometric,sprint,acceleration,0.52,22
03/12/2023,isometric,upper body,pull,91.6,10
06/12/2023,dynamic,jump,take off,0.64,10
10/12/2023,dynamic,agility,deceleration,0.87,22
10/12/2023,isometric,sprint,acceleration,0.52,10
16/12/2023,dynamic,jump,take off,0.6355,22
20/12/2023,dynamic,upper body,push,0.43,22
22/12/2023,dynamic,upper body,pull,0.87,7
25/12/2023,dynamic,sprint,max velocity,0.634,22
26/12/2023,dynamic,agility,deceleration,0.87,7
28/12/2023,dynamic,jump,take off,0.64,22
02/01/2024,isometric,sprint,max velocity,89.6,22
04/01/2024,isometric,agility,rotate,97.0,7
