Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Willian Pacho,ec ECU,DF,22,45.9,2936,3128,93.9,53057,15078,923,968,95.4,1825,1875,97.3,152,221,68.8,2,0.5,0.9,#ERROR!,5,110,4,0,89,Matches
Achraf Hakimi,ma MAR,DF,25,45.6,3085,3513,87.8,42457,12115,1906,2046,93.2,953,1071,89.0,101,161,62.7,12,10.8,8.9,#ERROR!,86,211,62,14,293,Matches
Vitinha,pt POR,MF,24,43.6,3544,3812,93.0,62814,13997,1611,1678,96.0,1440,1509,95.4,402,474,84.8,3,4.7,6.4,-1.7,50,384,58,6,327,Matches
João Neves,pt POR,MF,19,42.0,2440,2670,91.4,38988,8433,1273,1354,94.0,948,1012,93.7,157,197,79.7,9,5.7,5.6,#ERROR!,54,218,35,2,234,Matches
Bradley Barcola,fr FRA,FW,21,40.6,1075,1312,81.9,14529,3342,706,789,89.5,314,385,81.6,26,47,55.3,18,13.9,9.2,#ERROR!,74,42,62,4,121,Matches
Nuno Mendes,pt POR,DF,22,39.7,2242,2627,85.3,39826,11401,969,1059,91.5,1055,1181,89.3,184,278,66.2,5,6.3,5.7,-1.3,43,207,42,16,225,Matches
Gianluigi Donnarumma,it ITA,GK,25,39.6,893,1074,83.1,20047,11767,201,201,100.0,511,516,99.0,177,351,50.4,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Marquinhos,br BRA,DF,30,39.5,2838,3000,94.6,55414,16862,833,865,96.3,1689,1726,97.9,290,365,79.5,0,1.4,1.4,-1.4,17,294,7,1,238,Matches
Fabián Ruiz Peña,es ESP,MF,28,38.6,2067,2317,89.2,33183,8624,1062,1144,92.8,795,867,91.7,141,180,78.3,10,6.9,6.6,#ERROR!,63,209,48,3,274,Matches
Ousmane Dembélé,fr FRA,FW,27,36.7,1340,1717,78.0,21435,5767,706,828,85.3,479,592,80.9,109,161,67.7,13,11.9,9.9,#ERROR!,101,143,83,3,224,Matches
Désiré Doué,fr FRA,FW,19,33.5,1216,1484,81.9,17996,4293,698,769,90.8,417,510,81.8,60,111,54.1,14,10.4,8.4,#ERROR!,72,96,62,18,166,Matches
Warren Zaïre-Emery,fr FRA,MF,18,33.2,1889,2061,91.7,27631,5841,1081,1137,95.1,658,694,94.8,73,101,72.3,2,1.8,1.9,#ERROR!,28,148,14,2,179,Matches
Lucas Beraldo,br BRA,DF,20,27.3,2137,2260,94.6,37547,13397,820,850,96.5,1149,1188,96.7,136,167,81.4,0,0.4,1.0,-0.4,8,185,14,2,137,Matches
Lee Kang-in,kr KOR,"FW,MF",23,26.6,1402,1607,87.2,21847,5425,785,830,94.6,434,485,89.5,127,196,64.8,6,7.3,8.0,-1.3,73,121,56,9,182,Matches
Khvicha Kvaratskhelia,ge GEO,FW,23,20.0,738,869,84.9,10262,2275,472,504,93.7,209,248,84.3,28,54,51.9,5,6.4,4.9,-1.4,40,41,30,4,69,Matches
Gonçalo Ramos,pt POR,FW,23,18.6,226,289,78.2,2702,425,152,184,82.6,54,68,79.4,3,5,60.0,6,3.0,1.6,#ERROR!,19,10,10,0,26,Matches
Matvei Safonov,ru RUS,GK,25,17.1,287,371,77.4,7035,4595,63,63,100.0,152,152,100.0,71,153,46.4,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Lucas Hernández,fr FRA,DF,28,13.6,907,993,91.3,15609,5322,345,364,94.8,513,541,94.8,34,59,57.6,0,0.1,0.2,-0.1,1,59,1,0,57,Matches
Senny Mayulu,fr FRA,MF,18,12.0,421,482,87.3,6540,1089,220,243,90.5,156,169,92.3,26,30,86.7,3,2.1,2.2,#ERROR!,12,33,15,1,49,Matches
Marco Asensio,es ESP,FW,28,8.4,325,377,86.2,4664,902,202,218,92.7,90,104,86.5,21,29,72.4,4,2.8,1.8,#ERROR!,17,31,5,2,38,Matches
Randal Kolo Muani,fr FRA,FW,25,5.2,69,98,70.4,985,188,40,57,70.2,22,26,84.6,3,5,60.0,1,1.2,0.7,-0.2,7,1,5,0,9,Matches
Milan Škriniar,sk SVK,"DF,MF",29,4.2,361,374,96.5,6457,2316,133,136,97.8,208,213,97.7,16,20,80.0,0,0.1,0.0,-0.1,1,15,0,0,20,Matches
Ibrahim Mbaye,fr FRA,FW,16,3.9,128,148,86.5,1753,259,75,83,90.4,46,53,86.8,3,4,75.0,1,1.1,0.3,-0.1,3,6,3,0,9,Matches
Yoram Zague,fr FRA,DF,18,3.0,172,183,94.0,2831,596,74,78,94.9,90,94,95.7,6,7,85.7,0,0.1,0.1,-0.1,2,4,2,1,10,Matches
Axel Tapé,fr FRA,MF,16,2.8,142,151,94.0,2651,619,36,37,97.3,101,105,96.2,4,6,66.7,0,0.0,0.0,0.0,1,6,0,0,5,Matches
Arnau Tenas,es ESP,GK,23,2.0,31,32,96.9,757,538,9,9,100.0,13,13,100.0,9,10,90.0,1,0.2,0.1,#ERROR!,2,2,1,0,1,Matches
Presnel Kimpembe,fr FRA,DF,28,0.9,37,37,100.0,697,229,9,9,100.0,25,25,100.0,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Noham Kamara,fr FRA,DF,17,0.8,74,79,93.7,1308,459,26,28,92.9,41,41,100.0,5,6,83.3,0,0.0,0.0,0.0,0,8,0,0,5,Matches
