Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Willian Pacho,ec ECU,DF,22,45.9,3548,430,1563,1935,64,12,3548,11,5,45.5,5,45.5,2167,9767,4466,6,8,0,24,6,2678,3,Matches
Achraf Hakimi,ma MAR,DF,25,45.6,3971,81,770,1634,1599,145,3971,103,46,44.7,48,46.6,2246,10313,6214,168,103,37,67,36,2990,434,Matches
Vitinha,pt POR,MF,24,43.6,4123,101,596,2590,961,44,4119,76,49,64.5,21,27.6,2719,13459,6288,77,100,11,44,33,3380,78,Matches
João Neves,pt POR,MF,19,42.0,3073,93,555,1752,792,87,3073,58,31,53.4,23,39.7,1660,7974,3718,57,74,6,38,34,2299,112,Matches
Bradley Barcola,fr FRA,FW,21,40.6,1819,23,131,550,1161,325,1819,204,63,30.9,128,62.7,1213,8642,5349,198,100,138,84,29,1432,551,Matches
Nuno Mendes,pt POR,DF,22,39.7,3048,119,794,1548,739,72,3048,97,56,57.7,35,36.1,1648,7862,5253,100,76,19,56,35,2104,155,Matches
Gianluigi Donnarumma,it ITA,GK,25,39.6,1155,970,1141,14,0,0,1155,0,0,,0,,574,2617,1572,0,0,0,0,0,594,0,Matches
Marquinhos,br BRA,DF,30,39.5,3360,383,1198,1998,174,23,3360,10,6,60.0,4,40.0,2102,9985,6493,36,38,0,7,1,2603,5,Matches
Fabián Ruiz Peña,es ESP,MF,28,38.6,2608,71,406,1483,739,93,2608,31,17,54.8,14,45.2,1453,7286,3708,65,56,10,33,28,2025,135,Matches
Ousmane Dembélé,fr FRA,FW,27,36.7,2122,3,80,767,1295,274,2121,146,66,45.2,76,52.1,1352,9402,5581,216,141,124,68,46,1778,390,Matches
Désiré Doué,fr FRA,FW,19,33.5,1955,8,204,834,951,172,1955,185,79,42.7,88,47.6,1217,8048,4649,149,84,68,72,53,1562,296,Matches
Warren Zaïre-Emery,fr FRA,MF,18,33.2,2364,59,380,1274,728,44,2364,50,26,52.0,23,46.0,1452,7900,4021,64,76,8,53,46,1848,113,Matches
Lucas Beraldo,br BRA,DF,20,27.3,2458,229,917,1459,88,17,2458,2,1,50.0,1,50.0,1467,5682,3403,10,16,0,11,2,1962,0,Matches
Lee Kang-in,kr KOR,"FW,MF",23,26.6,1822,15,134,764,937,85,1822,63,37,58.7,23,36.5,1199,6237,2827,69,66,25,26,42,1486,194,Matches
Khvicha Kvaratskhelia,ge GEO,FW,23,20.0,1111,15,85,398,647,126,1111,89,41,46.1,43,48.3,731,5144,2906,104,68,59,31,47,897,196,Matches
Gonçalo Ramos,pt POR,FW,23,18.6,423,8,36,131,258,113,420,15,2,13.3,11,73.3,182,895,429,14,7,6,19,11,326,68,Matches
Matvei Safonov,ru RUS,GK,25,17.1,391,317,384,7,0,0,391,0,0,,0,,233,1045,606,0,0,0,0,0,215,0,Matches
Lucas Hernández,fr FRA,DF,28,13.6,1103,72,357,680,71,2,1103,3,2,66.7,0,0.0,572,2460,1391,6,11,0,5,3,798,5,Matches
Senny Mayulu,fr FRA,MF,18,12.0,622,17,78,279,270,47,622,36,16,44.4,19,52.8,360,1837,792,30,19,8,21,24,462,59,Matches
Marco Asensio,es ESP,FW,28,8.4,430,2,24,201,210,45,430,9,5,55.6,3,33.3,283,1419,644,22,15,10,5,6,360,56,Matches
Randal Kolo Muani,fr FRA,FW,25,5.2,170,5,11,54,109,45,169,19,11,57.9,8,42.1,96,487,247,10,6,6,12,15,131,48,Matches
Milan Škriniar,sk SVK,"DF,MF",29,4.2,417,51,200,213,5,3,417,3,0,0.0,3,100.0,244,1111,603,3,0,0,2,0,309,0,Matches
Ibrahim Mbaye,fr FRA,FW,16,3.9,198,2,23,79,98,16,198,16,5,31.3,11,68.8,161,1031,433,15,10,7,10,11,170,54,Matches
Yoram Zague,fr FRA,DF,18,3.0,203,3,44,124,36,5,203,2,2,100.0,0,0.0,148,629,313,5,1,1,1,0,158,17,Matches
Axel Tapé,fr FRA,MF,16,2.8,174,11,58,107,12,0,174,3,1,33.3,2,66.7,129,657,244,1,2,0,5,2,143,1,Matches
Arnau Tenas,es ESP,GK,23,2.0,33,22,30,3,0,0,33,0,0,,0,,28,153,120,0,0,0,0,0,21,0,Matches
Presnel Kimpembe,fr FRA,DF,28,0.9,46,7,27,19,0,0,46,0,0,,0,,23,179,143,1,0,0,0,0,31,0,Matches
Noham Kamara,fr FRA,DF,17,0.8,84,3,37,44,3,0,84,0,0,,0,,56,381,170,2,1,0,0,0,60,0,Matches
