Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Willian Pacho,ec ECU,DF,22,45.9,0,5,1,20.0,0.11,0.02,0.00,0.00,9.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Achraf Hakimi,ma MAR,DF,25,45.6,9,80,32,40.0,1.76,0.70,0.11,0.28,19.7,6,0,0,6.1,6.1,0.09,+1.9,#ERROR!,Matches
Vitinha,pt POR,MF,24,43.6,7,50,19,38.0,1.15,0.44,0.08,0.21,26.1,2,3,4,5.7,2.6,0.06,#ERROR!,#ERROR!,Matches
João Neves,pt POR,MF,19,42.0,5,57,18,31.6,1.36,0.43,0.09,0.28,14.1,0,0,0,5.1,5.1,0.10,-1.1,-1.1,Matches
Bradley Barcola,fr FRA,FW,21,40.6,21,114,56,49.1,2.81,1.38,0.18,0.38,12.9,0,0,0,19.5,19.5,0.19,-2.5,-2.5,Matches
Nuno Mendes,pt POR,DF,22,39.7,5,39,13,33.3,0.98,0.33,0.13,0.38,19.1,2,0,0,4.4,4.4,0.12,#ERROR!,#ERROR!,Matches
Gianluigi Donnarumma,it ITA,GK,25,39.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marquinhos,br BRA,DF,30,39.5,3,24,8,33.3,0.61,0.20,0.13,0.38,10.5,0,0,0,1.8,1.8,0.11,#ERROR!,#ERROR!,Matches
Fabián Ruiz Peña,es ESP,MF,28,38.6,5,66,20,30.3,1.71,0.52,0.08,0.25,19.3,0,0,0,5.4,5.4,0.09,-0.4,-0.4,Matches
Ousmane Dembélé,fr FRA,FW,27,36.7,33,189,86,45.5,5.14,2.34,0.17,0.37,16.2,1,1,1,24.7,23.9,0.15,#ERROR!,#ERROR!,Matches
Désiré Doué,fr FRA,FW,19,33.5,15,116,45,38.8,3.47,1.34,0.13,0.33,18.0,0,0,0,7.8,7.8,0.09,#ERROR!,#ERROR!,Matches
Warren Zaïre-Emery,fr FRA,MF,18,33.2,3,28,9,32.1,0.84,0.27,0.11,0.33,18.7,0,0,0,2.9,2.9,0.12,-0.9,-0.9,Matches
Lucas Beraldo,br BRA,DF,20,27.3,1,14,5,35.7,0.51,0.18,0.07,0.20,15.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Lee Kang-in,kr KOR,"FW,MF",23,26.6,6,56,22,39.3,2.10,0.83,0.11,0.27,20.0,1,0,0,3.9,3.9,0.08,#ERROR!,#ERROR!,Matches
Khvicha Kvaratskhelia,ge GEO,FW,23,20.0,7,68,24,35.3,3.40,1.20,0.10,0.29,19.3,4,0,0,5.3,5.3,0.08,#ERROR!,#ERROR!,Matches
Gonçalo Ramos,pt POR,FW,23,18.6,18,75,43,57.3,04.03,2.31,0.19,0.33,11.1,0,4,5,16.3,14.0,0.23,-3.3,-3.0,Matches
Matvei Safonov,ru RUS,GK,25,17.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Hernández,fr FRA,DF,28,13.6,0,3,0,0.0,0.22,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Senny Mayulu,fr FRA,MF,18,12.0,5,34,12,35.3,2.83,1.00,0.15,0.42,15.4,0,0,0,3.2,3.2,0.12,#ERROR!,#ERROR!,Matches
Marco Asensio,es ESP,FW,28,8.4,2,30,14,46.7,3.59,1.67,0.07,0.14,14.6,3,0,0,5.8,5.8,0.20,-3.8,-3.8,Matches
Randal Kolo Muani,fr FRA,FW,25,5.2,2,22,7,31.8,4.26,1.35,0.05,0.14,11.4,0,1,1,5.5,4.7,0.22,-3.5,-3.7,Matches
Milan Škriniar,sk SVK,"DF,MF",29,4.2,0,3,0,0.0,0.71,0.00,0.00,,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Ibrahim Mbaye,fr FRA,FW,16,3.9,1,12,7,58.3,03.05,1.78,0.08,0.14,14.4,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matches
Yoram Zague,fr FRA,DF,18,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,10.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Axel Tapé,fr FRA,MF,16,2.8,0,2,0,0.0,0.72,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Arnau Tenas,es ESP,GK,23,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Presnel Kimpembe,fr FRA,DF,28,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Noham Kamara,fr FRA,DF,17,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
