Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,,,,,,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,FW,27-349,69,1,0,0,0,1,1,0,0,30,0,0,0,0.1,0.1,0.0,2,1,20,26,76.9,3,20,2,1,0
Bradley Barcola,29,fr FRA,RW,22-239,21,0,0,0,0,1,0,0,0,7,0,0,1,0.3,0.3,0.1,2,0,5,5,100.0,0,3,1,0,0
Khvicha Kvaratskhelia,7,ge GEO,"LW,RW",24-076,90,0,1,0,0,3,1,0,0,38,5,2,1,0.1,0.1,0.1,4,1,17,19,89.5,1,18,7,2,0
Désiré Doué,14,fr FRA,"RW,LW,FW",19-330,75,0,0,0,0,2,1,0,0,38,0,0,2,0.1,0.1,0.0,0,0,21,24,87.5,1,24,3,5,3
Gonçalo Ramos,9,pt POR,FW,23-313,15,0,0,0,0,1,0,0,0,7,0,0,0,0.4,0.4,0.3,2,0,4,6,66.7,1,3,1,0,0
Fabián Ruiz Peña,8,es ESP,LM,29-026,90,0,0,0,0,0,0,0,0,49,3,0,1,0.0,0.0,0.0,1,0,38,42,90.5,2,25,0,0,0
Vitinha,17,pt POR,CM,25-075,90,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.0,1,0,50,52,96.2,3,36,0,2,2
João Neves,87,pt POR,RM,20-214,88,0,0,0,0,1,0,1,0,52,6,1,0,0.1,0.1,0.1,4,0,35,40,87.5,1,20,0,0,0
Warren Zaïre-Emery,33,fr FRA,RM,19-052,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
Nuno Mendes,25,pt POR,LB,22-314,90,0,0,0,0,0,0,0,0,60,5,1,0,0.0,0.0,0.0,0,0,37,52,71.2,1,24,1,0,0
Willian Pacho,51,ec ECU,CB,23-195,90,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,1,0,47,49,95.9,1,32,0,0,0
Marquinhos,5,br BRA,CB,30-350,90,0,0,0,0,1,1,0,0,61,2,0,1,0.1,0.1,0.4,2,0,49,51,96.1,1,33,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-176,90,0,0,0,0,1,0,1,0,61,2,0,2,0.0,0.0,0.1,2,0,42,48,87.5,1,36,1,2,0
Gianluigi Donnarumma,1,it ITA,GK,26-063,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,20,38,52.6,0,18,0,0,0
