,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Lee Kang-in,19,kr KOR,"FW,RW",23-225,90,0,0,0,0,1,1,0,0,63,1,1,0,0.0,0.0,0.3,6,0,52,59,88.1,5,40,1,0,0
Bradley Barcola,29,fr FRA,LW,22-029,90,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.0,2,0,19,30,63.3,0,21,2,6,2
Désiré Doué,14,fr FRA,RW,19-120,63,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,1,0,20,24,83.3,1,22,2,4,1
Randal Kolo Muani,23,fr FRA,FW,25-301,27,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,1,1,1,1
João Neves,87,pt POR,"LM,CM",20-004,90,0,0,0,0,2,0,0,0,98,5,1,1,0.1,0.1,0.0,3,0,81,89,91.0,9,65,1,3,0
Vitinha,17,pt POR,CM,24-231,63,0,0,0,0,0,0,0,0,64,0,1,0,0.0,0.0,0.0,0,0,59,63,93.7,0,44,0,2,2
Fabián Ruiz Peña,8,es ESP,LM,28-181,27,0,0,0,0,1,0,1,0,16,0,0,0,0.0,0.0,0.0,1,0,12,14,85.7,2,7,0,0,0
Warren Zaïre-Emery,33,fr FRA,RM,18-207,90,0,0,0,0,0,0,0,0,83,4,1,1,0.0,0.0,0.0,2,0,62,69,89.9,2,48,2,3,1
Nuno Mendes,25,pt POR,LB,22-104,90,0,0,0,0,2,0,0,0,82,4,2,1,0.0,0.0,0.0,2,0,52,70,74.3,8,41,5,3,2
Willian Pacho,51,ec ECU,CB,22-351,90,0,0,0,0,0,0,0,0,93,4,1,2,0.0,0.0,0.0,0,0,73,82,89.0,1,56,0,0,0
Marquinhos,5,br BRA,CB,30-140,90,0,0,0,0,2,0,0,0,88,0,0,0,0.1,0.1,0.0,0,0,77,82,93.9,7,62,0,1,1
Achraf Hakimi,2,ma MAR,RB,25-332,90,0,0,0,0,2,1,0,0,85,2,0,0,0.1,0.1,0.0,1,0,66,73,90.4,3,45,6,4,1
Gianluigi Donnarumma,1,it ITA,GK,25-219,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,35,38,92.1,0,23,0,0,0
