,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,FW,27-272,81,2,0,0,0,7,2,0,0,46,1,0,0,1.1,1.1,0.1,5,1,26,38,68.4,8,28,3,3,2
Gonçalo Ramos,9,pt POR,FW,23-236,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,1,0
Bradley Barcola,29,fr FRA,"LW,RW",22-162,74,0,0,0,0,3,1,1,0,29,0,1,1,0.4,0.4,0.1,2,0,16,20,80.0,0,19,3,1,0
Lee Kang-in,19,kr KOR,RW,23-358,16,0,0,0,0,1,1,0,0,22,1,0,1,0.0,0.0,0.0,0,0,16,18,88.9,0,14,1,1,1
Désiré Doué,14,fr FRA,RW,19-253,66,0,0,0,0,0,0,0,0,48,1,2,0,0.0,0.0,0.2,2,0,28,35,80.0,3,26,4,9,4
Khvicha Kvaratskhelia,7,ge GEO,LW,23-365,24,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,2,0,9,11,81.8,0,7,2,0,0
Fabián Ruiz Peña,8,es ESP,LM,28-314,90,0,0,0,0,1,0,0,0,64,2,1,1,0.0,0.0,0.0,1,0,46,51,90.2,6,31,2,2,1
Vitinha,17,pt POR,CM,24-364,90,1,0,1,1,2,1,0,0,101,1,0,1,0.8,0.0,0.4,2,0,86,88,97.7,6,51,3,2,2
João Neves,87,pt POR,RM,20-137,90,0,0,0,0,1,1,0,0,69,3,2,1,0.3,0.3,0.6,7,1,55,58,94.8,11,28,2,3,2
Nuno Mendes,25,pt POR,LB,22-237,90,0,0,0,0,0,0,0,0,82,2,2,1,0.0,0.0,0.0,1,0,56,67,83.6,3,21,1,1,0
Willian Pacho,51,ec ECU,CB,23-118,90,0,0,0,0,0,0,0,0,70,3,0,2,0.0,0.0,0.0,0,0,53,58,91.4,1,43,0,0,0
Marquinhos,5,br BRA,CB,30-273,90,0,0,0,0,0,0,0,0,81,2,1,5,0.0,0.0,0.0,0,0,56,58,96.6,2,27,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-099,90,0,1,0,0,0,0,0,0,103,0,3,0,0.0,0.0,0.1,2,1,81,95,85.3,13,52,6,3,2
Gianluigi Donnarumma,1,it ITA,GK,25-352,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,18,25,72.0,0,14,0,0,0
