,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,"FW,RW",27-300,120,1,0,0,0,4,3,0,0,55,1,0,0,1.3,1.3,0.2,2,0,34,44,77.3,6,37,10,4,2
Khvicha Kvaratskhelia,7,ge GEO,LW,24-027,100,0,0,0,0,5,1,0,0,49,3,2,1,0.3,0.3,0.6,5,0,21,32,65.6,4,32,8,5,1
Lee Kang-in,19,kr KOR,RW,24-020,20,0,0,0,0,2,2,0,0,16,0,0,0,0.1,0.1,0.0,1,0,12,13,92.3,2,12,4,0,0
Bradley Barcola,29,fr FRA,"RW,FW",22-190,66,0,0,0,0,1,1,0,0,15,0,0,1,0.6,0.6,0.0,1,0,8,10,80.0,1,11,1,2,1
Désiré Doué,14,fr FRA,"RW,LW",19-281,54,0,0,0,0,2,0,0,0,28,2,0,0,0.1,0.1,0.1,3,0,17,21,81.0,1,22,5,4,2
Fabián Ruiz Peña,8,es ESP,LM,28-342,90,0,0,0,0,0,0,0,0,59,4,1,1,0.0,0.0,0.0,0,0,37,46,80.4,1,19,0,0,0
Warren Zaïre-Emery,33,fr FRA,LM,19-003,30,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.1,4,0,21,24,87.5,3,16,1,2,1
Vitinha,17,pt POR,CM,25-026,120,0,0,0,0,2,1,0,0,134,5,3,3,0.0,0.0,0.3,3,0,103,111,92.8,9,75,3,1,0
João Neves,87,pt POR,RM,20-165,119,0,0,0,0,0,0,0,0,77,4,1,2,0.0,0.0,0.1,5,0,57,63,90.5,3,37,2,3,3
Gonçalo Ramos,9,pt POR,"FW,RM",23-264,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Nuno Mendes,25,pt POR,LB,22-265,120,0,0,0,0,1,0,0,0,98,5,4,4,0.0,0.0,0.0,3,0,54,69,78.3,4,43,4,5,3
Willian Pacho,51,ec ECU,CB,23-146,120,0,0,0,0,0,0,0,0,76,0,1,2,0.0,0.0,0.0,1,0,52,62,83.9,2,35,0,1,1
Marquinhos,5,br BRA,CB,30-301,89,0,0,0,0,0,0,1,0,76,2,0,1,0.0,0.0,0.0,1,0,59,61,96.7,1,35,0,0,0
Lucas Beraldo,35,br BRA,CB,21-107,31,0,0,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.0,0,0,19,20,95.0,0,11,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-127,120,0,0,0,0,3,0,0,0,118,5,2,4,0.1,0.1,0.1,8,0,79,93,84.9,9,55,5,2,0
Gianluigi Donnarumma,1,it ITA,GK,26-014,120,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,26,46,56.5,0,20,0,0,0
