Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,,,,,,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Bradley Barcola,29,fr FRA,"RW,FW",22-247,69,0,0,0,0,1,1,0,0,16,1,1,0,0.1,0.1,0.3,3,0,13,14,92.9,0,8,1,0,0
Ousmane Dembélé,10,fr FRA,FW,27-357,21,0,1,0,0,1,1,0,0,13,1,0,0,0.2,0.2,0.1,1,1,7,10,70.0,1,5,0,0,0
Khvicha Kvaratskhelia,7,ge GEO,"LW,RW",24-084,90,0,0,0,0,1,0,1,0,36,5,0,2,0.1,0.1,0.0,6,2,15,18,83.3,2,17,4,3,0
Désiré Doué,14,fr FRA,"FW,RW",19-338,73,0,0,0,0,3,1,0,0,35,3,0,0,0.3,0.3,0.1,2,0,15,22,68.2,2,18,4,2,0
Lucas Hernández,21,fr FRA,LB,29-082,17,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,0,0,5,8,62.5,0,1,0,0,0
Fabián Ruiz Peña,8,es ESP,LM,29-034,90,1,0,0,0,1,1,0,0,40,1,1,2,0.0,0.0,0.2,3,1,25,28,89.3,2,19,0,1,1
Vitinha,17,pt POR,CM,25-083,90,0,0,0,1,0,0,0,0,48,0,2,2,0.8,0.0,0.0,1,0,31,40,77.5,3,23,1,2,2
João Neves,87,pt POR,RM,20-222,90,0,0,0,0,0,0,0,0,46,6,0,2,0.0,0.0,0.0,1,0,27,30,90.0,1,22,0,1,0
Nuno Mendes,25,pt POR,"LB,LW",22-322,87,0,0,0,0,0,0,1,0,49,3,0,1,0.0,0.0,0.1,1,0,25,40,62.5,1,17,1,1,0
Gonçalo Ramos,9,pt POR,LW,23-321,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
Willian Pacho,51,ec ECU,CB,23-203,90,0,0,0,0,0,0,0,0,42,1,1,2,0.0,0.0,0.0,0,0,21,28,75.0,0,18,0,0,0
Marquinhos,5,br BRA,CB,30-358,90,0,0,0,0,0,0,0,0,39,3,0,0,0.0,0.0,0.0,0,0,21,25,84.0,2,15,1,0,0
Achraf Hakimi,2,ma MAR,RB,26-184,90,1,0,0,0,3,1,0,0,70,5,2,1,0.2,0.2,0.0,3,0,39,52,75.0,3,35,5,0,0
Gianluigi Donnarumma,1,it ITA,GK,26-071,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,15,29,51.7,0,9,0,0,0
