Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,,,,,,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,FW,27-329,90,0,1,0,0,4,1,0,0,95,0,0,1,0.2,0.2,0.9,11,0,73,83,88.0,7,55,8,5,2
Khvicha Kvaratskhelia,7,ge GEO,"LW,RW",24-056,89,1,0,0,0,5,1,0,0,94,1,0,1,0.3,0.3,0.3,13,2,68,78,87.2,8,69,10,6,4
Gonçalo Ramos,9,pt POR,"FW,RW",23-293,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Désiré Doué,14,fr FRA,RW,19-310,71,1,0,0,0,6,3,0,0,64,4,1,1,0.4,0.4,0.2,8,0,40,46,87.0,4,39,5,5,2
Bradley Barcola,29,fr FRA,LW,22-219,19,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.2,2,0,17,19,89.5,1,16,6,0,0
Fabián Ruiz Peña,8,es ESP,LM,29-006,71,0,1,0,0,1,0,0,0,68,1,0,1,0.0,0.0,0.1,4,1,56,60,93.3,12,42,2,3,0
Warren Zaïre-Emery,33,fr FRA,LM,19-032,19,0,0,0,0,2,0,0,0,21,1,0,0,0.2,0.2,0.0,1,0,18,18,100.0,5,13,2,0,0
Vitinha,17,pt POR,CM,25-055,90,0,0,0,0,3,1,0,0,161,1,3,0,0.2,0.2,0.1,6,1,148,153,96.7,6,118,2,2,1
João Neves,87,pt POR,RM,20-194,90,0,0,0,0,1,0,0,0,102,2,0,4,0.0,0.0,0.1,5,1,93,95,97.9,6,64,3,1,1
Nuno Mendes,25,pt POR,LB,22-294,90,1,1,0,0,3,1,0,0,97,1,2,1,0.5,0.5,0.0,2,1,75,80,93.8,7,46,1,2,0
Willian Pacho,51,ec ECU,CB,23-175,90,0,0,0,0,1,0,0,0,56,1,0,0,0.0,0.0,0.0,1,0,49,53,92.5,4,31,0,0,0
Lucas Beraldo,35,br BRA,CB,21-136,90,0,0,0,0,1,1,0,0,87,2,2,1,0.0,0.0,0.0,1,0,76,79,96.2,4,45,1,1,0
Achraf Hakimi,2,ma MAR,RB,26-156,90,0,0,0,0,2,2,0,0,96,0,1,0,0.2,0.2,0.0,3,0,81,90,90.0,4,48,3,0,0
Gianluigi Donnarumma,1,it ITA,GK,26-043,90,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,14,14,100.0,0,7,0,0,0
