,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Marco Asensio,11,es ESP,FW,28-290,66,0,0,0,0,1,0,0,0,27,0,0,2,0.0,0.0,0.0,0,0,20,22,90.9,1,14,0,1,1
Lee Kang-in,19,kr KOR,"RM,FW",23-261,24,0,0,0,0,2,1,0,0,29,0,0,3,0.1,0.1,0.1,2,0,19,22,86.4,2,17,0,0,0
Bradley Barcola,29,fr FRA,LW,22-065,90,0,0,0,0,3,3,0,0,67,1,2,3,0.2,0.2,0.0,4,0,42,53,79.2,2,44,3,5,2
Ousmane Dembélé,10,fr FRA,RW,27-175,89,0,1,0,0,2,0,0,0,96,1,0,0,0.1,0.1,0.8,6,1,55,75,73.3,11,54,8,12,6
Désiré Doué,14,fr FRA,RW,19-156,1,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,4,1
João Neves,87,pt POR,LM,20-040,66,0,0,0,0,1,1,0,0,72,1,1,2,0.0,0.0,0.0,0,0,61,64,95.3,7,43,2,2,0
Fabián Ruiz Peña,8,es ESP,LM,28-217,24,0,0,0,0,0,0,0,0,19,0,1,1,0.0,0.0,0.0,2,0,15,17,88.2,3,6,2,0,0
Vitinha,17,pt POR,CM,24-267,90,0,0,0,0,1,0,0,0,112,0,1,0,0.0,0.0,0.3,6,0,97,108,89.8,8,70,2,4,2
Warren Zaïre-Emery,33,fr FRA,RM,18-243,72,1,0,0,0,2,1,0,0,53,0,1,0,0.7,0.7,0.0,1,0,41,46,89.1,4,24,0,0,0
Randal Kolo Muani,23,fr FRA,FW,25-337,18,0,0,0,0,1,0,0,0,7,0,1,1,0.1,0.1,0.0,0,0,3,3,100.0,1,3,0,0,0
Nuno Mendes,25,pt POR,LB,22-140,90,0,0,0,0,1,0,0,0,116,2,1,0,0.0,0.0,0.1,3,0,93,105,88.6,13,64,6,2,1
Willian Pacho,51,ec ECU,CB,23-021,90,0,0,0,0,0,0,0,0,125,0,2,0,0.0,0.0,0.0,0,0,117,122,95.9,10,82,0,0,0
Marquinhos,5,br BRA,CB,30-176,90,0,0,0,0,2,1,0,0,142,1,0,0,0.3,0.3,0.0,0,0,127,135,94.1,13,96,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-002,90,0,0,0,0,5,2,0,0,140,4,0,2,0.6,0.6,0.2,10,0,106,120,88.3,13,69,8,8,3
Gianluigi Donnarumma,1,it ITA,GK,25-255,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,28,29,96.6,0,12,0,0,0
