Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,,,,,,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Marco Asensio,11,es ESP,FW,28-241,38,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,7,8,87.5,1,4,2,0,0
Randal Kolo Muani,23,fr FRA,FW,25-288,52,0,0,0,0,5,0,0,0,14,2,0,0,0.6,0.6,0.3,4,0,5,8,62.5,2,8,1,3,3
Bradley Barcola,29,fr FRA,LW,22-016,62,0,0,0,0,0,0,0,0,30,2,0,3,0.0,0.0,0.1,3,0,11,17,64.7,1,19,3,4,0
Désiré Doué,14,fr FRA,"LW,RW",19-107,28,0,0,0,0,1,0,0,0,14,1,0,0,0.0,0.0,0.0,1,0,6,11,54.5,0,8,1,2,1
Ousmane Dembélé,10,fr FRA,RW,27-126,89,0,0,0,0,8,2,0,0,48,0,1,0,0.6,0.6,0.2,6,0,24,31,77.4,7,36,10,4,1
Lucas Beraldo,35,br BRA,LB,20-299,1,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,7,0,0,0
Fabián Ruiz Peña,8,es ESP,LM,28-168,62,0,0,0,0,2,1,0,0,37,0,0,1,0.1,0.1,0.0,2,0,27,31,87.1,3,19,0,1,0
João Neves,87,pt POR,CM,19-357,28,0,0,0,0,1,0,0,0,40,0,0,0,0.1,0.1,0.1,3,0,32,36,88.9,4,19,2,0,0
Vitinha,17,pt POR,CM,24-218,62,0,0,0,0,1,0,0,0,50,0,1,0,0.0,0.0,0.0,5,0,45,47,95.7,5,41,1,1,0
Lee Kang-in,19,kr KOR,LM,23-212,28,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.2,3,0,17,18,94.4,3,12,1,1,1
Warren Zaïre-Emery,33,fr FRA,RM,18-194,90,0,0,0,0,1,0,0,0,73,2,0,1,0.0,0.0,0.1,8,0,58,62,93.5,9,37,2,4,1
Nuno Mendes,25,pt POR,LB,22-091,90,0,0,0,0,0,0,0,0,107,0,0,0,0.0,0.0,0.0,3,0,89,100,89.0,9,64,3,4,3
Willian Pacho,51,ec ECU,CB,22-338,90,0,0,0,0,0,0,0,0,117,1,1,1,0.0,0.0,0.0,0,0,105,109,96.3,0,81,0,0,0
Marquinhos,5,br BRA,CB,30-127,90,0,0,0,0,0,0,1,0,109,3,1,0,0.0,0.0,0.0,2,0,97,99,98.0,5,74,0,2,1
Achraf Hakimi,2,ma MAR,RB,25-319,90,0,0,0,0,6,2,0,0,87,3,2,2,0.6,0.6,0.5,8,0,62,71,87.3,8,54,12,3,1
Matvei Safonov,39,ru RUS,GK,25-206,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,1,0,20,25,80.0,0,11,0,0,0
