,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,"FW,RW",28-016,90,0,2,0,0,4,1,0,0,50,0,0,0,0.3,0.3,0.6,9,3,40,46,87.0,6,36,5,0,0
Khvicha Kvaratskhelia,7,ge GEO,LW,24-108,83,1,0,0,0,6,1,0,0,33,2,0,0,0.8,0.8,0.0,3,1,17,21,81.0,1,26,7,4,2
Gonçalo Ramos,9,pt POR,"FW,LW",23-345,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Désiré Doué,14,fr FRA,RW,19-362,66,2,1,0,0,4,3,1,0,36,1,1,0,0.4,0.4,0.8,5,1,20,27,74.1,2,27,2,1,1
Bradley Barcola,29,fr FRA,"RW,LW",22-271,24,0,1,0,0,3,0,0,0,17,1,0,0,0.7,0.7,0.1,3,1,12,12,100.0,1,12,2,1,1
Fabián Ruiz Peña,8,es ESP,LM,29-058,83,0,0,0,0,1,1,0,0,61,0,1,1,0.0,0.0,0.2,4,0,49,58,84.5,6,35,3,0,0
Senny Mayulu,24,fr FRA,LM,19-014,7,1,0,0,0,1,1,0,0,3,0,0,0,0.1,0.1,0.0,1,1,2,2,100.0,2,3,0,0,0
Vitinha,17,pt POR,CM,25-107,90,0,1,0,0,0,0,0,0,88,2,1,0,0.0,0.0,0.4,7,2,74,82,90.2,7,49,1,0,0
João Neves,87,pt POR,RM,20-246,83,0,0,0,0,0,0,0,0,64,0,0,2,0.0,0.0,0.0,0,0,54,56,96.4,6,30,0,0,0
Warren Zaïre-Emery,33,fr FRA,RM,19-084,7,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Nuno Mendes,25,pt POR,LB,22-346,77,0,0,0,0,0,0,0,0,63,3,0,1,0.0,0.0,0.1,7,1,47,53,88.7,3,23,0,1,0
Lucas Hernández,21,fr FRA,LB,29-106,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,0,0,0
Willian Pacho,51,ec ECU,CB,23-227,90,0,0,0,0,0,0,0,0,49,1,1,0,0.0,0.0,0.0,2,0,33,36,91.7,2,21,0,1,0
Marquinhos,5,br BRA,CB,31-017,90,0,0,0,0,2,0,0,0,58,1,0,1,0.2,0.2,0.0,1,0,44,46,95.7,2,28,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-208,90,1,0,0,0,2,1,1,0,90,2,0,3,0.6,0.6,0.1,3,0,72,81,88.9,4,41,0,1,1
Gianluigi Donnarumma,1,it ITA,GK,26-095,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,14,0,0,0
