Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,,,,,,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,"RW,FW",27-294,90,0,0,0,0,8,2,0,0,76,0,0,0,0.7,0.7,0.0,8,0,45,64,70.3,8,42,12,6,5
Bradley Barcola,29,fr FRA,"LW,FW",22-184,65,0,0,0,0,3,0,0,0,38,2,0,0,0.5,0.5,0.5,8,0,27,30,90.0,3,24,5,4,2
Désiré Doué,14,fr FRA,"LW,FW",19-275,25,0,0,0,0,3,2,0,0,19,1,0,0,0.0,0.0,0.0,1,0,9,12,75.0,1,14,5,1,1
Khvicha Kvaratskhelia,7,ge GEO,"RW,LW",24-021,77,0,0,0,0,5,4,0,0,62,0,0,0,0.2,0.2,0.0,5,0,44,51,86.3,3,46,10,4,2
Gonçalo Ramos,9,pt POR,FW,23-258,13,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
Fabián Ruiz Peña,8,es ESP,LM,28-336,77,0,0,0,0,1,0,0,0,56,0,1,2,0.1,0.1,0.1,5,0,49,51,96.1,5,26,2,0,0
Warren Zaïre-Emery,33,fr FRA,LM,18-362,13,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,11,13,84.6,1,6,0,0,0
Vitinha,17,pt POR,CM,25-020,90,0,0,0,0,3,0,0,0,126,1,1,0,0.1,0.1,0.1,7,0,109,115,94.8,10,91,5,6,4
João Neves,87,pt POR,RM,20-159,90,0,0,0,0,1,0,0,0,81,3,1,0,0.2,0.2,0.0,2,0,64,73,87.7,5,38,0,0,0
Nuno Mendes,25,pt POR,LB,22-259,90,0,0,0,0,1,0,0,0,86,8,0,1,0.0,0.0,0.0,1,0,65,76,85.5,6,43,6,3,3
Willian Pacho,51,ec ECU,CB,23-140,90,0,0,0,0,0,0,0,0,81,0,1,0,0.0,0.0,0.0,3,0,67,74,90.5,0,41,0,0,0
Marquinhos,5,br BRA,CB,30-295,90,0,0,0,0,0,0,1,0,99,5,2,1,0.0,0.0,0.0,1,0,80,85,94.1,7,52,2,0,0
Achraf Hakimi,2,ma MAR,RB,26-121,90,0,0,0,0,2,1,0,0,95,0,0,2,0.0,0.0,0.4,7,0,69,80,86.3,8,55,4,3,2
Gianluigi Donnarumma,1,it ITA,GK,26-008,90,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,20,20,100.0,0,15,0,0,0
