,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Lee Kang-in,19,kr KOR,FW,23-338,45,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.2,2,0,22,28,78.6,2,21,0,0,0
Ousmane Dembélé,10,fr FRA,"RW,FW",27-252,45,1,0,0,0,4,2,0,0,25,0,0,1,0.8,0.8,0.2,7,0,16,18,88.9,2,10,4,2,2
Bradley Barcola,29,fr FRA,LW,22-142,80,1,1,0,0,4,1,0,0,36,1,0,1,0.4,0.4,0.7,5,2,21,23,91.3,2,22,7,6,3
Lucas Hernández,21,fr FRA,LB,28-343,10,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,7,9,77.8,0,0,0,0,0
Désiré Doué,14,fr FRA,RW,19-233,60,0,0,0,0,2,1,0,0,57,1,1,1,0.1,0.1,0.0,2,1,36,45,80.0,2,41,9,4,0
Gonçalo Ramos,9,pt POR,FW,23-216,30,1,0,0,0,3,2,0,0,11,0,0,1,0.5,0.5,0.0,1,0,2,6,33.3,0,5,0,0,0
Fabián Ruiz Peña,8,es ESP,LM,28-294,60,0,0,0,0,1,0,0,0,53,4,1,1,0.2,0.2,0.0,3,0,42,47,89.4,6,26,0,1,0
Warren Zaïre-Emery,33,fr FRA,LM,18-320,30,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,10,14,71.4,2,7,1,1,1
Vitinha,17,pt POR,CM,24-344,90,0,1,0,0,3,0,0,0,102,0,1,0,0.1,0.1,0.5,6,1,85,90,94.4,6,51,1,2,0
João Neves,87,pt POR,RM,20-117,90,1,0,0,0,7,1,0,0,83,7,1,0,0.7,0.7,0.1,6,0,56,63,88.9,6,36,2,4,2
Nuno Mendes,25,pt POR,"LB,LW",22-217,90,0,0,0,0,0,0,1,0,86,4,4,0,0.0,0.0,0.2,4,0,66,75,88.0,4,33,2,4,3
Willian Pacho,51,ec ECU,CB,23-098,90,0,0,0,0,0,0,0,0,74,0,2,2,0.0,0.0,0.0,0,0,62,66,93.9,0,38,0,0,0
Marquinhos,5,br BRA,CB,30-253,90,0,0,0,0,0,0,0,0,79,0,0,2,0.0,0.0,0.0,0,0,71,73,97.3,2,39,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-079,90,0,0,0,0,2,1,0,0,84,2,0,0,0.1,0.1,0.0,6,0,67,76,88.2,13,45,4,2,2
Gianluigi Donnarumma,1,it ITA,GK,25-332,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,21,25,84.0,0,15,0,0,0
