,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Lee Kang-in,19,kr KOR,FW,23-246,67,0,0,0,0,2,1,0,0,45,2,0,0,0.1,0.1,0.0,2,0,29,37,78.4,4,22,1,0,0
Marco Asensio,11,es ESP,FW,28-275,23,0,0,0,0,2,0,0,0,12,1,0,0,0.1,0.1,0.1,2,0,5,9,55.6,0,2,1,0,0
Bradley Barcola,29,fr FRA,LW,22-050,80,0,0,0,0,3,1,0,0,49,1,2,1,0.4,0.4,0.2,4,0,31,35,88.6,3,37,8,8,1
Randal Kolo Muani,23,fr FRA,LW,25-322,10,0,0,0,0,1,1,0,0,10,0,0,1,0.1,0.1,0.0,0,0,3,6,50.0,0,6,0,1,0
Ousmane Dembélé,10,fr FRA,RW,27-160,80,0,0,0,0,6,1,0,0,68,1,0,1,0.9,0.9,0.1,7,0,34,53,64.2,8,41,8,3,0
Désiré Doué,14,fr FRA,RW,19-141,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,2,4,2,0,0
Fabián Ruiz Peña,8,es ESP,LM,28-202,58,0,1,0,0,1,1,0,0,31,1,1,0,0.1,0.1,0.0,3,1,22,29,75.9,3,11,1,0,0
Vitinha,17,pt POR,LM,24-252,32,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.0,2,0,32,38,84.2,3,20,0,1,1
João Neves,87,pt POR,CM,20-025,90,0,0,0,0,2,1,0,0,74,3,0,1,0.3,0.3,0.2,2,0,56,61,91.8,9,40,2,4,2
Warren Zaïre-Emery,33,fr FRA,RM,18-228,80,0,0,0,0,2,0,0,0,45,1,0,0,0.2,0.2,0.1,5,0,34,39,87.2,5,23,4,1,1
Senny Mayulu,24,fr FRA,RM,18-158,10,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0
Nuno Mendes,25,pt POR,LB,22-125,90,0,0,0,0,2,0,1,0,83,1,1,1,0.1,0.1,0.6,5,1,63,72,87.5,11,46,3,2,1
Willian Pacho,51,ec ECU,CB,23-006,90,0,0,0,0,0,0,0,0,99,2,6,0,0.0,0.0,0.1,3,0,80,84,95.2,5,50,1,1,1
Marquinhos,5,br BRA,CB,30-161,90,0,0,0,0,1,1,0,0,82,2,1,0,0.1,0.1,0.0,4,0,65,70,92.9,7,45,3,0,0
Achraf Hakimi,2,ma MAR,RB,25-353,90,1,0,0,0,4,1,0,0,89,3,1,0,0.1,0.1,0.2,5,0,62,74,83.8,11,46,9,5,3
Gianluigi Donnarumma,1,it ITA,GK,25-240,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,18,21,85.7,0,10,0,0,0
