,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Gonçalo Ramos,9,pt POR,FW,23-173,65,1,0,0,0,4,2,0,0,19,0,0,0,1.7,1.7,0.0,1,0,9,10,90.0,0,11,0,1,0
Désiré Doué,14,fr FRA,FW,19-190,25,1,0,0,0,1,1,0,0,14,1,0,0,0.2,0.2,0.0,0,0,10,12,83.3,2,14,3,1,1
Bradley Barcola,29,fr FRA,LW,22-099,90,0,0,0,0,3,1,0,0,61,1,0,1,0.9,0.9,0.1,3,2,39,47,83.0,5,54,7,14,10
Lee Kang-in,19,kr KOR,RW,23-295,90,0,0,0,0,1,0,0,0,87,2,0,1,0.1,0.1,0.5,6,1,66,77,85.7,10,76,9,6,3
João Neves,87,pt POR,LM,20-074,90,0,0,0,0,1,0,0,0,96,6,0,1,0.1,0.1,0.0,0,0,78,86,90.7,8,75,2,2,2
Vitinha,17,pt POR,CM,24-301,90,0,0,0,0,1,1,0,0,113,1,1,2,0.1,0.1,0.0,3,1,95,103,92.2,13,98,0,4,3
Fabián Ruiz Peña,8,es ESP,RM,28-251,72,0,0,0,0,1,1,0,0,64,2,2,0,0.0,0.0,0.5,2,0,49,54,90.7,3,51,1,1,0
Warren Zaïre-Emery,33,fr FRA,RM,18-277,18,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,9,10,90.0,0,12,0,0,0
Nuno Mendes,25,pt POR,LB,22-174,82,1,0,0,0,1,1,0,0,82,2,1,2,0.1,0.1,0.0,3,1,61,74,82.4,12,65,2,1,1
Lucas Hernández,21,fr FRA,LB,28-300,8,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,2,8,0,0,0
Willian Pacho,51,ec ECU,CB,23-055,90,0,0,0,0,0,0,0,0,108,3,1,0,0.0,0.0,0.0,1,0,96,100,96.0,2,92,0,0,0
Marquinhos,5,br BRA,CB,30-210,90,0,0,0,0,1,0,0,0,141,2,1,1,0.0,0.0,0.0,3,0,124,130,95.4,25,115,1,0,0
Achraf Hakimi,2,ma MAR,RB,26-036,90,0,2,0,0,1,1,0,0,132,2,2,3,0.0,0.0,1.7,6,1,95,115,82.6,7,107,3,8,2
Gianluigi Donnarumma,1,it ITA,GK,25-289,90,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.0,0,0,25,26,96.2,0,23,0,0,0
