,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,"FW,LW",27-259,90,3,0,0,0,5,3,0,0,68,0,0,0,1.2,1.2,0.1,4,1,43,58,74.1,5,28,4,4,0
Bradley Barcola,29,fr FRA,LW,22-149,70,1,1,0,0,1,1,0,0,31,0,0,3,0.7,0.7,1.2,3,1,17,20,85.0,1,17,5,6,4
Gonçalo Ramos,9,pt POR,FW,23-223,20,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,8,11,72.7,1,3,1,0,0
Désiré Doué,14,fr FRA,RW,19-240,59,0,1,0,0,4,2,0,0,48,0,1,0,0.4,0.4,0.7,4,1,32,35,91.4,2,30,3,7,3
Lee Kang-in,19,kr KOR,RW,23-345,31,0,0,0,0,1,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,14,17,82.4,3,12,1,3,2
Warren Zaïre-Emery,33,fr FRA,"LM,RB",18-327,90,0,0,0,0,0,0,0,0,61,2,1,1,0.0,0.0,0.1,1,0,44,55,80.0,8,31,2,1,1
Vitinha,17,pt POR,CM,24-351,90,0,0,0,0,1,0,0,0,96,2,0,0,0.0,0.0,0.1,4,3,78,85,91.8,5,43,1,3,0
João Neves,87,pt POR,RM,20-124,76,0,1,0,0,0,0,1,0,53,2,1,1,0.0,0.0,0.0,1,1,40,44,90.9,4,22,2,0,0
Senny Mayulu,24,fr FRA,RM,18-257,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,1,5,0,2,1
Lucas Hernández,21,fr FRA,LB,28-350,70,0,0,0,0,0,0,0,0,60,1,0,2,0.0,0.0,0.0,2,0,49,53,92.5,5,17,0,0,0
Lucas Beraldo,35,br BRA,LB,21-066,20,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,20,20,100.0,2,9,0,0,0
Willian Pacho,51,ec ECU,CB,23-105,90,0,0,0,0,0,0,0,0,70,2,0,3,0.0,0.0,0.0,0,0,52,57,91.2,1,33,0,0,0
Marquinhos,5,br BRA,CB,30-260,90,0,0,0,0,0,0,0,0,76,3,0,4,0.0,0.0,0.0,0,0,58,62,93.5,2,31,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-086,70,0,1,0,0,0,0,0,0,87,4,1,4,0.0,0.0,0.2,3,1,68,76,89.5,2,31,1,1,0
Fabián Ruiz Peña,8,es ESP,LM,28-301,20,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,2,0,13,16,81.3,1,9,0,1,1
Gianluigi Donnarumma,1,it ITA,GK,25-339,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,35,74.3,0,21,0,0,0
